Comment,Designator,Footprint,LCSC
1k,R3,R_0402_1005Metric,C11702
Q_Photo_NPN,Q1,D_0603_1608Metric,C146233
100n,"C1,C11,C12,C13,C17,C2,C3,C4,C5,C7",C_0402_1005Metric,C1525
100p,C10,C_0402_1005Metric,C1546
SHTC3,U2,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,C194656
4u7,"C16,C18,C6",C_0603_1608Metric,C19666
LED,D1,LED_0603_1608Metric,C2286
B3U-1000P,RST1,SW_SPST_B3U-1000P,C231329
470,R4,R_0402_1005Metric,C25117
10k,"R1,R2",R_0402_1005Metric,C25744
0p8,C8,C_0402_1005Metric,C327032
10p,"C14,C15",C_0402_1005Metric,C32949
STM32WB55CGUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C404023
2nH7,L1,L_0402_1005Metric,C434826
10nH,L2,L_0402_1005Metric,C464435
32.768KHz,Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,C528982
DLF162500LT-5028A1,FLT1,DLF162500LT-5028A1,C531364
0p3,C9,C_0402_1005Metric,C76909
32 MHz,Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,C843260
10uH,L3,L_0805_2012Metric,C98030
Fiducial,KiKit_FID_T_3,Fiducial,
Fiducial,KiKit_FID_T_1,Fiducial,
Fiducial,KiKit_FID_T_2,Fiducial,
Fiducial,KiKit_FID_B_3,Fiducial,
Fiducial,KiKit_FID_B_2,Fiducial,
Fiducial,KiKit_FID_B_1,Fiducial,
