Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,19.15,-53.15,-90.0,top
C1,100n,C_0402_1005Metric,19.15,-23.15,-90.0,top
C1,100n,C_0402_1005Metric,59.75,-23.15,-90.0,top
C1,100n,C_0402_1005Metric,59.75,-53.15,-90.0,top
C10,100p,C_0402_1005Metric,28.858018,-46.5444,90.0,top
C10,100p,C_0402_1005Metric,69.458018,-46.5444,90.0,top
C10,100p,C_0402_1005Metric,28.858018,-16.5444,90.0,top
C10,100p,C_0402_1005Metric,69.458018,-16.5444,90.0,top
C11,100n,C_0402_1005Metric,70.469678,-16.5444,90.0,top
C11,100n,C_0402_1005Metric,29.869678,-16.5444,90.0,top
C11,100n,C_0402_1005Metric,70.469678,-46.5444,90.0,top
C11,100n,C_0402_1005Metric,29.869678,-46.5444,90.0,top
C12,100n,C_0402_1005Metric,12.725,-47.9,0.0,top
C12,100n,C_0402_1005Metric,53.325,-47.9,0.0,top
C12,100n,C_0402_1005Metric,12.725,-17.9,0.0,top
C12,100n,C_0402_1005Metric,53.325,-17.9,0.0,top
C13,100n,C_0402_1005Metric,26.19,-55.66,0.0,top
C13,100n,C_0402_1005Metric,66.79,-25.66,0.0,top
C13,100n,C_0402_1005Metric,26.19,-25.66,0.0,top
C13,100n,C_0402_1005Metric,66.79,-55.66,0.0,top
C14,10p,C_0402_1005Metric,62.68,-56.83,180.0,top
C14,10p,C_0402_1005Metric,22.08,-26.83,180.0,top
C14,10p,C_0402_1005Metric,22.08,-56.83,180.0,top
C14,10p,C_0402_1005Metric,62.68,-26.83,180.0,top
C15,10p,C_0402_1005Metric,24.44,-56.83,0.0,top
C15,10p,C_0402_1005Metric,65.04,-56.83,0.0,top
C15,10p,C_0402_1005Metric,65.04,-26.83,0.0,top
C15,10p,C_0402_1005Metric,24.44,-26.83,0.0,top
C16,4u7,C_0603_1608Metric,65.575,-44.725,0.0,top
C16,4u7,C_0603_1608Metric,24.975,-44.725,0.0,top
C16,4u7,C_0603_1608Metric,24.975,-14.725,0.0,top
C16,4u7,C_0603_1608Metric,65.575,-14.725,0.0,top
C17,100n,C_0402_1005Metric,61.13,-44.09,180.0,top
C17,100n,C_0402_1005Metric,20.53,-14.09,180.0,top
C17,100n,C_0402_1005Metric,61.13,-14.09,180.0,top
C17,100n,C_0402_1005Metric,20.53,-44.09,180.0,top
C18,4u7,C_0603_1608Metric,60.85,-42.79,180.0,top
C18,4u7,C_0603_1608Metric,20.25,-42.79,180.0,top
C18,4u7,C_0603_1608Metric,60.85,-12.79,180.0,top
C18,4u7,C_0603_1608Metric,20.25,-12.79,180.0,top
C2,100n,C_0402_1005Metric,19.35,-19.15,-90.0,top
C2,100n,C_0402_1005Metric,19.35,-49.15,-90.0,top
C2,100n,C_0402_1005Metric,59.95,-49.15,-90.0,top
C2,100n,C_0402_1005Metric,59.95,-19.15,-90.0,top
C3,100n,C_0402_1005Metric,66.79,-24.61,0.0,top
C3,100n,C_0402_1005Metric,26.19,-54.61,0.0,top
C3,100n,C_0402_1005Metric,26.19,-24.61,0.0,top
C3,100n,C_0402_1005Metric,66.79,-54.61,0.0,top
C4,100n,C_0402_1005Metric,69.463,-50.0944,-90.0,top
C4,100n,C_0402_1005Metric,28.863,-50.0944,-90.0,top
C4,100n,C_0402_1005Metric,69.463,-20.0944,-90.0,top
C4,100n,C_0402_1005Metric,28.863,-20.0944,-90.0,top
C5,100n,C_0402_1005Metric,61.525,-24.6024,180.0,top
C5,100n,C_0402_1005Metric,20.925,-24.6024,180.0,top
C5,100n,C_0402_1005Metric,61.525,-54.6024,180.0,top
C5,100n,C_0402_1005Metric,20.925,-54.6024,180.0,top
C6,4u7,C_0603_1608Metric,59.038,-54.8694,0.0,top
C6,4u7,C_0603_1608Metric,59.038,-24.8694,0.0,top
C6,4u7,C_0603_1608Metric,18.438,-54.8694,0.0,top
C6,4u7,C_0603_1608Metric,18.438,-24.8694,0.0,top
C7,100n,C_0402_1005Metric,61.2,-15.19,180.0,top
C7,100n,C_0402_1005Metric,20.6,-45.19,180.0,top
C7,100n,C_0402_1005Metric,20.6,-15.19,180.0,top
C7,100n,C_0402_1005Metric,61.2,-45.19,180.0,top
C8,0p8,C_0402_1005Metric,70.863,-19.1694,-90.0,top
C8,0p8,C_0402_1005Metric,30.263,-19.1694,-90.0,top
C8,0p8,C_0402_1005Metric,70.863,-49.1694,-90.0,top
C8,0p8,C_0402_1005Metric,30.263,-49.1694,-90.0,top
C9,0p3,C_0402_1005Metric,33.263,-49.1694,-90.0,top
C9,0p3,C_0402_1005Metric,73.863,-19.1694,-90.0,top
C9,0p3,C_0402_1005Metric,73.863,-49.1694,-90.0,top
C9,0p3,C_0402_1005Metric,33.263,-19.1694,-90.0,top
D1,LED,LED_0603_1608Metric,27.8,-59.0,0.0,top
D1,LED,LED_0603_1608Metric,68.4,-59.0,0.0,top
D1,LED,LED_0603_1608Metric,27.8,-29.0,0.0,top
D1,LED,LED_0603_1608Metric,68.4,-29.0,0.0,top
FLT1,DLF162500LT-5028A1,DLF162500LT-5028A1,75.75,-48.7,0.0,top
FLT1,DLF162500LT-5028A1,DLF162500LT-5028A1,35.15,-18.7,0.0,top
FLT1,DLF162500LT-5028A1,DLF162500LT-5028A1,75.75,-18.7,0.0,top
FLT1,DLF162500LT-5028A1,DLF162500LT-5028A1,35.15,-48.7,0.0,top
KiKit_FID_B_1,Fiducial,Fiducial,3.4,-3.4,180.0,bottom
KiKit_FID_B_2,Fiducial,Fiducial,90.8,-3.4,180.0,bottom
KiKit_FID_B_3,Fiducial,Fiducial,3.4,-67.6,180.0,bottom
KiKit_FID_T_1,Fiducial,Fiducial,3.4,-3.4,0.0,top
KiKit_FID_T_2,Fiducial,Fiducial,90.8,-3.4,0.0,top
KiKit_FID_T_3,Fiducial,Fiducial,3.4,-67.6,0.0,top
L1,2nH7,L_0402_1005Metric,31.763,-48.6694,0.0,top
L1,2nH7,L_0402_1005Metric,72.363,-18.6694,0.0,top
L1,2nH7,L_0402_1005Metric,31.763,-18.6694,0.0,top
L1,2nH7,L_0402_1005Metric,72.363,-48.6694,0.0,top
L2,10nH,L_0402_1005Metric,22.89,-44.13,90.0,top
L2,10nH,L_0402_1005Metric,22.89,-14.13,90.0,top
L2,10nH,L_0402_1005Metric,63.49,-44.13,90.0,top
L2,10nH,L_0402_1005Metric,63.49,-14.13,90.0,top
L3,10uH,L_0805_2012Metric,64.55,-42.2,0.0,top
L3,10uH,L_0805_2012Metric,64.55,-12.2,0.0,top
L3,10uH,L_0805_2012Metric,23.95,-42.2,0.0,top
L3,10uH,L_0805_2012Metric,23.95,-12.2,0.0,top
Q1,Q_Photo_NPN,D_0603_1608Metric,35.15,-56.75,90.0,top
Q1,Q_Photo_NPN,D_0603_1608Metric,75.75,-56.75,90.0,top
Q1,Q_Photo_NPN,D_0603_1608Metric,35.15,-26.75,90.0,top
Q1,Q_Photo_NPN,D_0603_1608Metric,75.75,-26.75,90.0,top
R1,10k,R_0402_1005Metric,13.775,-22.1,90.0,top
R1,10k,R_0402_1005Metric,13.775,-52.1,90.0,top
R1,10k,R_0402_1005Metric,54.375,-52.1,90.0,top
R1,10k,R_0402_1005Metric,54.375,-22.1,90.0,top
R2,10k,R_0402_1005Metric,11.875,-52.1,90.0,top
R2,10k,R_0402_1005Metric,52.475,-52.1,90.0,top
R2,10k,R_0402_1005Metric,11.875,-22.1,90.0,top
R2,10k,R_0402_1005Metric,52.475,-22.1,90.0,top
R3,1k,R_0402_1005Metric,31.6,-30.6,0.0,top
R3,1k,R_0402_1005Metric,72.2,-30.6,0.0,top
R3,1k,R_0402_1005Metric,31.6,-60.6,0.0,top
R3,1k,R_0402_1005Metric,72.2,-60.6,0.0,top
R4,470,R_0402_1005Metric,74.35,-24.6,0.0,top
R4,470,R_0402_1005Metric,33.75,-24.6,0.0,top
R4,470,R_0402_1005Metric,33.75,-54.6,0.0,top
R4,470,R_0402_1005Metric,74.35,-54.6,0.0,top
RST1,B3U-1000P,SW_SPST_B3U-1000P,13.1,-28.8,180.0,top
RST1,B3U-1000P,SW_SPST_B3U-1000P,53.7,-58.8,180.0,top
RST1,B3U-1000P,SW_SPST_B3U-1000P,53.7,-28.8,180.0,top
RST1,B3U-1000P,SW_SPST_B3U-1000P,13.1,-58.8,180.0,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,24.15,-49.925,90.0,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,64.75,-49.925,90.0,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,24.15,-19.925,90.0,top
U1,STM32WB55CGUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,64.75,-19.925,90.0,top
U2,SHTC3,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,12.8,-19.7,0.0,top
U2,SHTC3,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,12.8,-49.7,0.0,top
U2,SHTC3,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,53.4,-19.7,0.0,top
U2,SHTC3,Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm,53.4,-49.7,0.0,top
Y1,32 MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,29.6,-13.3,-90.0,top
Y1,32 MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,70.2,-43.3,-90.0,top
Y1,32 MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,70.2,-13.3,-90.0,top
Y1,32 MHz,Crystal_SMD_2016-4Pin_2.0x1.6mm,29.6,-43.3,-90.0,top
Y2,32.768KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,23.26,-25.34,0.0,top
Y2,32.768KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,63.86,-55.34,0.0,top
Y2,32.768KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,23.26,-55.34,0.0,top
Y2,32.768KHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,63.86,-25.34,0.0,top
