"Footprint","Part Value","LCSC Part"
"C_0402_1005Metric","100n","C1525"
"C_0402_1005Metric","0p8","C327032"
"C_0402_1005Metric","0p3","C76909"
"C_0402_1005Metric","100p","C1546"
"C_0402_1005Metric","10p","C32949"
"C_0603_1608Metric","4u7","C19666"
"Crystal_SMD_2012-2Pin_2.0x1.2mm","32.768KHz","C528982"
"Crystal_SMD_2016-4Pin_2.0x1.6mm","32 MHz","C843260"
"DLF162500LT-5028A1","DLF162500LT-5028A1","C531364"
"D_0603_1608Metric","Q_Photo_NPN","C146233"
"LED_0603_1608Metric","LED","C2286"
"L_0402_1005Metric","2nH7","C434826"
"L_0402_1005Metric","10nH","C464435"
"L_0805_2012Metric","10uH","C98030"
"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","STM32WB55CGUx","C404023"
"R_0402_1005Metric","10k","C25744"
"R_0402_1005Metric","1k","C11702"
"R_0402_1005Metric","470","C25117"
"SW_SPST_B3U-1000P","B3U-1000P","C231329"
"Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","SHT4x","C7461862"
