pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type,place
158.82,-84.9,-90.0,top,AE1,,,Texas_SWRA117D_2.4GHz_Right,Antenna,tht,False
143.9,-89.6,180.0,bottom,BT1,,,BatteryHolder_MPD_BC2003_1x2032,Battery_Cell,smt,False
139.15,-92.15,-90.0,top,C1,,,C_0402_1005Metric,100n,smt,True
148.858018,-85.5444,90.0,top,C10,,,C_0402_1005Metric,100p,smt,True
149.869678,-85.5444,90.0,top,C11,,,C_0402_1005Metric,100n,smt,True
130.8,-88.6,-90.0,top,C12,,,C_0402_1005Metric,100n,smt,True
146.19,-94.66,0.0,top,C13,,,C_0402_1005Metric,100n,smt,True
142.08,-95.83,180.0,top,C14,,,C_0402_1005Metric,10p,smt,True
144.44,-95.83,0.0,top,C15,,,C_0402_1005Metric,10p,smt,True
144.975,-83.725,0.0,top,C16,,,C_0603_1608Metric,4u7,smt,True
140.53,-83.09,180.0,top,C17,,,C_0402_1005Metric,100n,smt,True
140.25,-81.79,180.0,top,C18,,,C_0603_1608Metric,4u7,smt,True
139.35,-88.15,-90.0,top,C2,,,C_0402_1005Metric,100n,smt,True
146.19,-93.61,0.0,top,C3,,,C_0402_1005Metric,100n,smt,True
148.863,-89.0944,-90.0,top,C4,,,C_0402_1005Metric,100n,smt,True
140.925,-93.6024,180.0,top,C5,,,C_0402_1005Metric,100n,smt,True
138.438,-93.8694,0.0,top,C6,,,C_0603_1608Metric,4u7,smt,True
140.6,-84.19,180.0,top,C7,,,C_0402_1005Metric,100n,smt,True
150.263,-88.1694,-90.0,top,C8,,,C_0402_1005Metric,0p8,smt,True
153.263,-88.1694,-90.0,top,C9,,,C_0402_1005Metric,0p3,smt,True
147.8,-98.0,0.0,top,D1,,,LED_0603_1608Metric,LED,smt,True
152.0,-101.0,0.0,top,FID1,,,Fiducial_0.5mm_Mask1mm,Fiducial,smt,False
129.0,-101.0,0.0,top,FID2,,,Fiducial_0.5mm_Mask1mm,Fiducial,smt,False
152.0,-78.0,0.0,top,FID3,,,Fiducial_0.5mm_Mask1mm,Fiducial,smt,False
155.15,-87.7,0.0,top,FLT1,,,DLF162500LT-5028A1,DLF162500LT-5028A1,smt,True
155.0,-100.0,0.0,top,H2,,,MountingHole_2.2mm_M2_DIN965,MountingHole,tht,False
137.8,-99.82,0.0,top,H3,,,MountingHole_2.2mm_M2_DIN965,MountingHole,tht,False
155.0,-79.0,0.0,top,H4,,,MountingHole_2.2mm_M2_DIN965,MountingHole,tht,False
131.0,-81.0,-90.0,top,J1,,,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,Conn_ARM_SWD_TagConnect_TC2030,tht,False
147.6,-100.6,-90.0,top,J3,,,PinHeader_1x04_P2.00mm_Vertical,~,tht,False
151.763,-87.6694,0.0,top,L1,,,L_0402_1005Metric,2nH7,smt,True
142.89,-83.13,90.0,top,L2,,,L_0402_1005Metric,10nH,smt,True
143.95,-81.2,0.0,top,L3,,,L_0805_2012Metric,10uH,smt,True
155.15,-95.75,90.0,top,Q1,,,D_0603_1608Metric,Q_Photo_NPN,smt,True
135.4,-89.7,90.0,top,R1,,,R_0402_1005Metric,10k,smt,True
135.4,-87.5,-90.0,top,R2,,,R_0402_1005Metric,10k,smt,True
151.6,-99.0,0.0,top,R3,,,R_0402_1005Metric,1k,smt,True
153.75,-93.6,0.0,top,R4,,,R_0402_1005Metric,470,smt,True
133.1,-97.8,180.0,top,RST1,,None,SW_SPST_B3U-1000P,B3U-1000P,smt,True
144.15,-88.925,90.0,top,U1,,,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,STM32WB55CGUx,smt,True
132.8,-88.6,180.0,top,U2,,,Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad,SHT4x,smt,True
149.6,-82.3,-90.0,top,Y1,,,Crystal_SMD_2016-4Pin_2.0x1.6mm,32 MHz,smt,True
143.26,-94.34,0.0,top,Y2,,,Crystal_SMD_2012-2Pin_2.0x1.2mm,32.768KHz,smt,True
